review_id,product_id,customer_id,rating,title,comment,is_verified_purchase,helpful_votes,created_at
1,93,124,2,Buena calidad,Llegó a tiempo y en perfecto estado.,false,13,2025-02-25
2,53,426,2,Satisfecho,No cumplió mis expectativas.,true,30,2023-10-28
3,16,258,5,Buena calidad,Bueno pero esperaba un poco más.,false,49,2023-09-02
4,97,357,3,Satisfecho,Cumple con lo prometido.,true,27,2025-06-16
5,92,479,2,Excelente producto,Llegó a tiempo y en perfecto estado.,true,43,2025-07-09
6,46,118,3,Recomendado,"Superó mis expectativas, lo recomiendo totalmente.",true,36,2025-01-28
7,28,339,1,No tan bueno,Muy buena calidad por el precio.,false,10,2023-10-06
8,96,310,4,Recomendado,Llegó a tiempo y en perfecto estado.,true,14,2023-10-17
9,90,72,4,Buena calidad,Llegó a tiempo y en perfecto estado.,true,26,2024-09-18
10,46,406,5,Excelente producto,Llegó a tiempo y en perfecto estado.,true,16,2025-02-19
11,37,406,5,Buena calidad,El producto es correcto pero la entrega tardó.,true,10,2024-09-13
12,80,286,2,Buena calidad,Llegó a tiempo y en perfecto estado.,true,13,2025-12-09
13,9,448,1,Recomendado,Bueno pero esperaba un poco más.,true,16,2024-02-26
14,68,261,3,Buena calidad,Muy buena calidad por el precio.,true,50,2024-12-29
15,78,8,5,Cumple expectativas,Excelente relación calidad-precio.,true,26,2024-05-06
16,86,301,2,Excelente producto,Bueno pero esperaba un poco más.,true,24,2025-09-08
17,1,495,5,No tan bueno,El producto es correcto pero la entrega tardó.,true,43,2024-09-20
18,3,350,4,Buena calidad,El producto es correcto pero la entrega tardó.,true,2,2025-05-21
19,57,476,2,Cumple expectativas,"Superó mis expectativas, lo recomiendo totalmente.",true,29,2025-07-24
20,26,369,3,Excelente producto,Bueno pero esperaba un poco más.,true,15,2025-03-22
21,79,3,1,Cumple expectativas,No cumplió mis expectativas.,true,50,2024-09-19
22,97,230,1,Satisfecho,El producto es correcto pero la entrega tardó.,false,34,2023-03-30
23,38,196,1,Satisfecho,Cumple con lo prometido.,true,6,2023-05-13
24,24,276,4,Buena calidad,"Superó mis expectativas, lo recomiendo totalmente.",false,25,2023-11-29
25,37,466,2,Buena calidad,No cumplió mis expectativas.,true,48,2023-03-31
26,87,229,3,Muy bueno,No cumplió mis expectativas.,false,37,2024-10-16
27,11,256,5,Excelente producto,Bueno pero esperaba un poco más.,true,4,2024-09-18
28,1,27,4,Cumple expectativas,Excelente relación calidad-precio.,true,27,2025-06-02
29,96,478,2,No tan bueno,Excelente relación calidad-precio.,false,16,2025-01-10
30,75,142,3,Muy bueno,Excelente relación calidad-precio.,true,40,2024-01-01
31,19,332,1,Recomendado,Bueno pero esperaba un poco más.,true,19,2025-09-02
32,80,126,3,Buena calidad,"Superó mis expectativas, lo recomiendo totalmente.",true,50,2023-09-17
33,13,422,1,Satisfecho,No cumplió mis expectativas.,true,39,2023-02-15
34,87,94,4,Podría mejorar,"Superó mis expectativas, lo recomiendo totalmente.",true,0,2024-06-16
35,70,206,1,No tan bueno,No cumplió mis expectativas.,true,22,2023-10-09
36,74,67,5,Recomendado,Bueno pero esperaba un poco más.,false,3,2024-07-31
37,14,140,1,No tan bueno,Excelente relación calidad-precio.,true,29,2025-01-25
38,96,146,5,Cumple expectativas,Llegó a tiempo y en perfecto estado.,true,1,2025-08-01
39,41,356,4,Muy bueno,Muy buena calidad por el precio.,true,9,2024-06-08
40,73,367,2,Excelente producto,Cumple con lo prometido.,true,16,2025-11-28
41,52,415,5,Excelente producto,No cumplió mis expectativas.,true,48,2023-01-07
42,52,185,3,Satisfecho,No cumplió mis expectativas.,true,32,2024-04-15
