product_id,sku,product_name,description,category_id,brand_id,supplier_id,price,cost,weight_kg,is_active,created_at,updated_at
1,SKU-000001,Pro Widget 1,Descripción detallada del producto 1,4,2,1,227.6,141.11,22.5,true,2022-12-05,2024-03-09
2,SKU-000002,Max Artículo 2,Descripción detallada del producto 2,6,6,7,187.06,102.88,29.8,true,2023-11-05,2024-08-13
3,SKU-000003,Premium Pack 3,Descripción detallada del producto 3,7,5,3,16.25,7.31,24.4,true,2023-05-15,2025-02-10
4,SKU-000004,Super Dispositivo 4,Descripción detallada del producto 4,6,5,2,53.84,36.07,45.2,true,2022-07-14,2024-06-12
5,SKU-000005,Pro Equipo 5,Descripción detallada del producto 5,2,11,5,273.9,153.38,4.1,true,2022-12-28,2025-10-31
6,SKU-000006,Básico Dispositivo 6,Descripción detallada del producto 6,1,1,8,362.16,144.86,45,true,2022-05-28,2025-05-06
7,SKU-000007,Pro Gadget 7,Descripción detallada del producto 7,6,10,3,142.02,62.49,24.1,false,2022-10-02,2025-12-04
8,SKU-000008,Ultra Producto 8,Descripción detallada del producto 8,7,13,2,82.76,50.48,45.8,true,2022-04-19,2024-10-15
9,SKU-000009,Pro Herramienta 9,Descripción detallada del producto 9,8,10,1,294.38,117.75,0.3,true,2022-04-08,2025-10-22
10,SKU-000010,Mega Artículo 10,Descripción detallada del producto 10,5,3,8,16.08,6.43,6.3,true,2023-01-24,2025-09-14
11,SKU-000011,Premium Widget 11,Descripción detallada del producto 11,8,9,2,177.33,106.4,42,true,2022-03-16,2024-07-20
12,SKU-000012,Premium Equipo 12,Descripción detallada del producto 12,6,11,5,405.66,227.17,11.6,false,2023-05-14,2025-03-29
13,SKU-000013,Premium Equipo 13,Descripción detallada del producto 13,2,7,7,87.64,58.72,47.6,true,2023-05-05,2024-07-29
14,SKU-000014,Elite Producto 14,Descripción detallada del producto 14,8,5,3,497.78,293.69,19.3,true,2022-12-18,2025-11-02
15,SKU-000015,Mega Set 15,Descripción detallada del producto 15,1,1,7,440.33,198.15,11.3,true,2023-12-08,2024-11-05
16,SKU-000016,Mini Producto 16,Descripción detallada del producto 16,9,2,8,208.95,135.82,46.2,false,2022-08-25,2024-08-01
17,SKU-000017,Básico Kit 17,Descripción detallada del producto 17,10,15,7,119.6,56.21,24.9,true,2023-12-06,2026-01-04
18,SKU-000018,Ultra Equipo 18,Descripción detallada del producto 18,8,10,5,51.98,33.27,44.3,true,2022-01-10,2025-03-19
19,SKU-000019,Básico Pack 19,Descripción detallada del producto 19,3,1,7,167.25,85.3,32.7,true,2022-01-02,2025-01-21
20,SKU-000020,Mini Gadget 20,Descripción detallada del producto 20,10,10,6,191.71,109.27,34.9,true,2023-04-22,2025-07-26
21,SKU-000021,Mega Herramienta 21,Descripción detallada del producto 21,7,4,1,191.94,76.78,22.6,true,2022-01-24,2025-10-20
22,SKU-000022,Super Artículo 22,Descripción detallada del producto 22,8,6,6,116.75,56.04,11.8,true,2022-05-27,2024-07-02
23,SKU-000023,Mega Kit 23,Descripción detallada del producto 23,5,8,4,79.85,50.31,37.9,true,2022-07-31,2024-06-30
24,SKU-000024,Premium Kit 24,Descripción detallada del producto 24,1,15,3,266.02,148.97,2.8,true,2022-11-03,2025-09-30
25,SKU-000025,Mini Herramienta 25,Descripción detallada del producto 25,7,12,3,11.43,7.09,17.3,true,2022-01-07,2024-09-06
26,SKU-000026,Elite Gadget 26,Descripción detallada del producto 26,8,6,4,371.37,163.4,14.6,true,2022-03-17,2025-09-03
27,SKU-000027,Ultra Herramienta 27,Descripción detallada del producto 27,8,7,5,136.66,87.46,44.8,true,2022-11-01,2024-12-23
28,SKU-000028,Básico Pack 28,Descripción detallada del producto 28,8,6,1,36.29,19.23,39.7,true,2022-01-18,2024-02-23
29,SKU-000029,Básico Kit 29,Descripción detallada del producto 29,5,15,2,5.73,2.87,25,true,2022-07-22,2024-05-07
30,SKU-000030,Smart Equipo 30,Descripción detallada del producto 30,10,8,7,174.46,109.91,19.1,true,2022-04-30,2025-04-01
31,SKU-000031,Elite Dispositivo 31,Descripción detallada del producto 31,2,5,4,302.6,127.09,3.3,true,2022-11-27,2024-10-21
32,SKU-000032,Básico Artículo 32,Descripción detallada del producto 32,9,13,7,266.32,154.47,38.1,true,2023-12-13,2025-01-20
33,SKU-000033,Pro Widget 33,Descripción detallada del producto 33,8,14,3,77.58,51.2,0.9,true,2023-10-22,2025-01-25
34,SKU-000034,Elite Equipo 34,Descripción detallada del producto 34,4,12,6,352.16,211.3,5.3,true,2022-01-13,2025-05-10
35,SKU-000035,Ultra Artículo 35,Descripción detallada del producto 35,2,1,8,73.69,44.21,45,true,2023-12-24,2024-08-05
36,SKU-000036,Elite Equipo 36,Descripción detallada del producto 36,1,12,3,379.04,216.05,17.5,true,2022-05-14,2025-10-15
37,SKU-000037,Básico Producto 37,Descripción detallada del producto 37,2,14,5,332.56,212.84,48.6,true,2023-11-11,2025-05-10
38,SKU-000038,Mega Pack 38,Descripción detallada del producto 38,7,1,7,226.45,156.25,39.9,true,2023-10-13,2024-12-14
39,SKU-000039,Mini Widget 39,Descripción detallada del producto 39,4,4,5,435.8,196.11,34.5,true,2022-01-15,2024-09-29
40,SKU-000040,Premium Herramienta 40,Descripción detallada del producto 40,10,7,7,168.04,100.82,36.8,true,2023-04-09,2024-10-20
41,SKU-000041,Pro Set 41,Descripción detallada del producto 41,8,9,3,272.17,111.59,15.5,true,2023-07-15,2025-01-21
42,SKU-000042,Premium Equipo 42,Descripción detallada del producto 42,8,8,2,421.18,252.71,48.1,true,2022-03-14,2024-05-12
